Exp,Site,Hole,Core,Type,Section,Sechalf,PCL,TYPE,Tool_name,TopOffset,BottomOffset,SampleID,SampleWeight,Avg_age,1sigma,PercentStd,CCSFA,SBA,mod_am
361,U1474,F,1,H,1,W,150,HRND,SPATULA,3,4,CM1,0.822,349.7,3.5,1.0,0.00,0,7.078
361,U1474,F,1,H,1,W,150,HRND,SPATULA,15,16,CM2,0.8259,340.2,5.2,1.5,0.12,0.00306,10.8
361,U1474,F,1,H,1,W,150,HRND,SPATULA,27,28,CM3,0.8172,337.8,4.7,1.4,0.24,0.00612,14.4220
361,U1474,F,1,H,1,W,150,HRND,SPATULA,40,41,CM4,0.8097,375.3,0.4,0.1,0.37,0.00918,15.04170833
361,U1474,F,1,H,1,W,150,HRND,SPATULA,52,53,CM5,0.8142,347.3,2.6,0.8,0.49,0.01224,19.51504167
361,U1474,F,1,H,1,W,150,HRND,SPATULA,64,65,CM6,0.8622,286.4,36.6,12.8,0.61,0.0153,22.47419444
361,U1474,F,1,H,1,W,150,HRND,SPATULA,76,77,CM7,0.8291,282.6,6.1,2.2,0.73,0.01836,25.19375
361,U1474,F,1,H,1,W,150,HRND,SPATULA,89,90,CM8,0.8107,278.8,2.6,0.9,0.86,0.02142,30.389125
361,U1474,F,1,H,1,W,150,HRND,SPATULA,101,102,CM9,0.8302,259.4,3.3,1.3,0.98,0.02448,32.981875
361,U1474,F,1,H,1,W,150,HRND,SPATULA,113,114,CM10,0.8084,269.8,6.9,2.6,1.10,0.02754,35.881
361,U1474,F,1,H,1,W,150,HRND,SPATULA,125,126,CM11,0.8165,275.9,1.8,0.6,1.22,0.0306,38.238125
361,U1474,F,1,H,1,W,150,HRND,SPATULA,138,139,CM12,0.8138,249.2,6.6,2.6,1.35,0.03366,43.49146429
361,U1474,F,1,H,2,W,99,HRND,SPATULA,0,1,CM13,0.8245,255.3,6.2,2.4,1.47,0.03672,47.16346429
361,U1474,F,1,H,2,W,99,HRND,SPATULA,12,13,CM14,0.8285,276.8,0.3,0.1,1.59,0.03978,50.83546429
