"Exp","Site","Hole","Core","Type","Sect","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","NGR total counts (cps)","Error (cps)","Relative Error","Timestamp (UTC)","Instrument","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","10.0","0.100","0.100","24.250","0.541","0.022","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","20.0","0.200","0.200","25.398","0.315","0.012","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","30.0","0.300","0.300","32.128","0.349","0.011","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","40.0","0.400","0.400","39.380","0.389","0.010","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","50.0","0.500","0.500","38.710","0.386","0.010","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","60.0","0.600","0.600","34.837","0.369","0.011","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","70.0","0.700","0.700","32.194","0.356","0.011","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","80.0","0.800","0.800","33.492","0.363","0.011","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","90.0","0.900","0.900","32.922","0.361","0.011","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","100.0","1.000","1.000","31.617","0.354","0.011","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","110.0","1.100","1.100","30.203","0.347","0.012","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","120.0","1.200","1.200","28.604","0.331","0.012","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
"361","U1474","F","1","H","1","130.0","1.300","1.300","27.804","0.327","0.012","2016-02-16 09:43:32","NGR System","SECT7637991","95459301",""
