"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","Reflectance L*","Reflectance a*","Reflectance b*","Tristimulus X","Tristimulus Y","Tristimulus Z","Normalized spectral data link","Unnormalized spectral data link","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","5.0","0.050","0.050","46.72","4.99","10.04","15.84","15.81","12.67","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","6.0","0.060","0.060","45.99","5","10.21","15.3","15.26","12.12","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","7.0","0.070","0.070","46.61","5.15","10.86","15.78","15.72","12.28","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","8.0","0.080","0.080","46.09","4.74","9.78","15.33","15.33","12.35","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","9.0","0.090","0.090","45.18","4.66","9.82","14.66","14.67","11.75","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","10.0","0.100","0.100","44.95","4.56","9.54","14.49","14.51","11.71","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","11.0","0.110","0.110","46.84","5.46","12.04","16.01","15.9","11.99","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","12.0","0.120","0.120","47.2","5.38","11.44","16.26","16.17","12.45","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","13.0","0.130","0.130","46.72","4.63","9.71","15.77","15.8","12.8","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","14.0","0.140","0.140","47","5.47","12.28","16.12","16.02","12","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","15.0","0.150","0.150","47.35","5.56","11.76","16.41","16.29","12.43","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","16.0","0.160","0.160","47.39","5.12","11.07","16.36","16.32","12.72","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","17.0","0.170","0.170","46.18","5.22","11.08","15.47","15.4","11.92","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","18.0","0.180","0.180","45.89","5.47","12.14","15.31","15.19","11.35","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","19.0","0.190","0.190","46.6","5.18","11.61","15.78","15.72","11.99","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","20.0","0.200","0.200","46.09","5.8","12.85","15.51","15.33","11.22","","","2016-02-16 19:43:50","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95486571","Auto-Log Split Section"
