"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","5.0","0.050","0.050","61.67","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","6.0","0.060","0.060","60.38","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","7.0","0.070","0.070","57.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","8.0","0.080","0.080","57.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","9.0","0.090","0.090","57.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","10.0","0.100","0.100","55.24","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","11.0","0.110","0.110","61.67","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","12.0","0.120","0.120","62.95","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","13.0","0.130","0.130","62.95","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","14.0","0.140","0.140","61.67","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","15.0","0.150","0.150","60.38","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","16.0","0.160","0.160","59.10","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","17.0","0.170","0.170","60.38","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","18.0","0.180","0.180","62.95","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","19.0","0.190","0.190","62.95","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","20.0","0.200","0.200","64.24","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","21.0","0.210","0.210","66.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","22.0","0.220","0.220","65.52","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","23.0","0.230","0.230","64.24","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","24.0","0.240","0.240","65.52","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","25.0","0.250","0.250","66.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","26.0","0.260","0.260","66.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","27.0","0.270","0.270","64.24","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","28.0","0.280","0.280","66.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","29.0","0.290","0.290","66.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","30.0","0.300","0.300","64.24","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","31.0","0.310","0.310","66.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","32.0","0.320","0.320","68.09","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","33.0","0.330","0.330","68.09","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","34.0","0.340","0.340","68.09","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","35.0","0.350","0.350","68.09","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","36.0","0.360","0.360","69.37","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","37.0","0.370","0.370","71.94","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","38.0","0.380","0.380","73.23","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","39.0","0.390","0.390","69.37","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","40.0","0.400","0.400","65.52","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","41.0","0.410","0.410","66.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","42.0","0.420","0.420","69.37","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","43.0","0.430","0.430","66.81","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","44.0","0.440","0.440","64.24","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","45.0","0.450","0.450","65.52","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","46.0","0.460","0.460","69.37","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","47.0","0.470","0.470","73.23","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","48.0","0.480","0.480","73.23","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","49.0","0.490","0.490","74.51","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","50.0","0.500","0.500","70.66","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","51.0","0.510","0.510","75.80","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","52.0","0.520","0.520","75.80","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","53.0","0.530","0.530","74.51","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","54.0","0.540","0.540","70.66","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","55.0","0.550","0.550","69.37","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","56.0","0.560","0.560","74.51","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","57.0","0.570","0.570","82.22","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","58.0","0.580","0.580","87.36","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","59.0","0.590","0.590","89.93","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","60.0","0.600","0.600","84.79","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","61.0","0.610","0.610","79.65","2016-02-16 19:43:24","MS2K-121","SHMSL","SHLF7638011","95486581","Auto-Log Split Section"
