"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","R","G","B","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","4.73","0.047","0.047","73.6","61.3","43.5","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","5.23","0.052","0.052","72.6","60.3","42.8","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","5.73","0.057","0.057","72.7","59.9","41.8","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","6.23","0.062","0.062","73.2","60.0","41.5","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","6.73","0.067","0.067","73.0","59.6","41.0","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","7.23","0.072","0.072","72.5","60.0","42.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","7.73","0.077","0.077","68.3","56.8","40.0","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","8.23","0.082","0.082","73.0","60.0","41.7","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","8.73","0.087","0.087","75.2","62.6","44.5","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","9.23","0.092","0.092","66.3","56.9","42.0","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","9.73","0.097","0.097","70.3","60.2","44.3","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","10.23","0.102","0.102","78.3","65.9","47.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","10.73","0.107","0.107","78.6","64.7","45.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","11.23","0.112","0.112","81.5","67.9","48.7","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","11.73","0.117","0.117","84.5","70.5","50.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","12.23","0.122","0.122","83.2","69.9","50.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","12.73","0.127","0.127","75.8","64.0","46.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
